"Numbers"|"ID"|"Handle"|"Image Src"|"status"|"text"
"27"|"8910402978094"|"louis-vuitton-ss21-graphic-tee-1a8p0u"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_d11f67a4-3447-4c0f-9289-d0319e95e5cf.jpg?v=1721268472"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '281'}"
"28"|"8910402978094"|"louis-vuitton-ss21-graphic-tee-1a8p0u"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/4_540x_0cf0e693-0bda-455a-a382-31aa6aa3495f.jpg?v=1721268472"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '453'}"
"29"|"8910403698990"|"louis-vuitton-lv-fw21-tee-1a99ys"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_2a851f17-6d25-48d5-8f58-0c39a3b9caba.jpg?v=1724049570"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '250'}"
"30"|"8910400618798"|"louis-vuitton-ss22-monogram-1a9gj6"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_cb0ea6c3-019b-4935-9a1b-39e8832b2a38.jpg?v=1724052812"|"200"|""
"31"|"8910400618798"|"louis-vuitton-ss22-monogram-1a9gj6"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_b5828c10-01bf-4860-bce7-1e6a30860668.jpg?v=1724052812"|"200"|""
"32"|"8910400618798"|"louis-vuitton-ss22-monogram-1a9gj6"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_195f9b3d-2d24-4b4d-9e24-28f09ac6f0b8.jpg?v=1724052812"|"200"|""
"33"|"8910400618798"|"louis-vuitton-ss22-monogram-1a9gj6"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_17544467-cc95-48c1-8c29-fe49ce8c1b09.jpg?v=1724052812"|"200"|""
"34"|"8910401175854"|"louis-vuitton-lv-fw21-1a9glx"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_fcc9433e-eaf3-4b96-b81c-68545d705706.jpg?v=1722587769"|"200"|"Louis.
Luitton
MADE"
"35"|"8910401175854"|"louis-vuitton-lv-fw21-1a9glx"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_5335913f-0c4b-4ab1-bc9c-117f01171ec6.jpg?v=1722587769"|"200"|"Louis."
"36"|"8910401175854"|"louis-vuitton-lv-fw21-1a9glx"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_91e468ad-1323-412c-b43a-8ae9c7d3f759.jpg?v=1722587769"|"200"|""
"37"|"8910401175854"|"louis-vuitton-lv-fw21-1a9glx"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_874c2df4-bebc-4f36-9b07-07bcd25aef9d.jpg?v=1722587769"|"200"|"Louis,
wittan
MADE"
"38"|"8910402289966"|"louis-vuitton-lv-fw21-1a99vy"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_de4ec157-af60-4ceb-99db-aa9f90f891db.jpg?v=1724047653"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '468'}"
"39"|"8910402289966"|"louis-vuitton-lv-fw21-1a99vy"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_f2f442fa-02cd-4c71-8e17-19549c7ca38c.jpg?v=1724047653"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '453'}"
"40"|"8910402289966"|"louis-vuitton-lv-fw21-1a99vy"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_026d8011-3914-4a98-a825-2513e0eeacd3.jpg?v=1724047653"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '234'}"
"41"|"8910402289966"|"louis-vuitton-lv-fw21-1a99vy"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_7d1d7942-2de5-4d4d-a4c1-17488e05d2f3.jpg?v=1724047653"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '500'}"
"42"|"8910400258350"|"louis-vuitton-lv-wonderland-1a1ixu"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_f8200668-f766-45cd-83eb-332cada1632e.jpg?v=1724047704"|"200"|""
"43"|"8910400258350"|"louis-vuitton-lv-wonderland-1a1ixu"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_85a202de-4323-4213-ba35-9ed6e3894a6f.jpg?v=1724047704"|"200"|""
"44"|"8910400258350"|"louis-vuitton-lv-wonderland-1a1ixu"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_61297f79-0a6d-4ef3-9c19-42d9155f44e9.jpg?v=1724047704"|"200"|"C"
"45"|"8910400258350"|"louis-vuitton-lv-wonderland-1a1ixu"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_8aa2fb79-3ae3-420b-b6d2-13241d63f278.jpg?v=1724047704"|"200"|""
"46"|"8910404714798"|"louis-vuitton-lv-tee-1a8xfq"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_97c4a956-5e4a-4ec8-92a5-557665e91820.jpg?v=1721268819"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '468'}"
"47"|"8910404714798"|"louis-vuitton-lv-tee-1a8xfq"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_b04ef332-4bea-4797-9f3a-9d782f5e77cf.jpg?v=1721268819"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '218'}"
"48"|"8910404714798"|"louis-vuitton-lv-tee-1a8xfq"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_e7b000b3-9dc0-4079-9d74-e6cc5df55d53.jpg?v=1721268819"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '500'}"
"49"|"8910404714798"|"louis-vuitton-lv-tee-1a8xfq"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_e619bcd0-5269-4454-972b-55baa547a749.jpg?v=1721268819"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '234'}"
"50"|"8910401241390"|"louis-vuitton-x-nigo2-lv2-ss22-1a9gvm"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/main-square_540x_67b22abc-dbb0-4e6f-b25a-97fff1f9c9bd.jpg?v=1724049042"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '234'}"
"51"|"8910401241390"|"louis-vuitton-x-nigo2-lv2-ss22-1a9gvm"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/1_540x_ae92a650-a26d-4525-8506-4cd4444017e5.jpg?v=1724049043"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '437'}"
"52"|"8910401241390"|"louis-vuitton-x-nigo2-lv2-ss22-1a9gvm"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/2_540x_e3e696f0-5ac3-4d2c-a01c-a27a44a235d5.jpg?v=1724049043"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '453'}"
"53"|"8910401241390"|"louis-vuitton-x-nigo2-lv2-ss22-1a9gvm"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/3_540x_ab43559f-0b9c-447a-8dd3-c82ed2ff08bc.jpg?v=1724049043"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '453'}"
"54"|"8910401241390"|"louis-vuitton-x-nigo2-lv2-ss22-1a9gvm"|"https://cdn.shopify.com/s/files/1/0729/7934/9806/files/4_540x_eb31b540-b1bd-47d0-a84c-8c9945a52547.jpg?v=1724049043"|"invalid"|"{'OCRExitCode': 99, 'IsErroredOnProcessing': True, 'ErrorMessage': ['Unable to recognize the file type', ""E216:Unable to detect the file extension, or the file extension is incorrect, and no 'file type' provided in request. Please provide a file with a proper content type or extension, or provide a file type in the request to manually set the file extension.""], 'ProcessingTimeInMilliseconds': '312'}"
